kod,nazev,registrovani,obalky,platne,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
582794,Babice nad Svitavou,925,660,655,109,1,2,43,0,53,31,7,3,10,0,0,93,0,39,129,0,3,69,0,2,1,1,58,1,0
582808,Babice u Rosic,553,353,351,32,0,0,18,1,27,30,5,1,6,0,2,37,0,13,93,0,1,25,5,4,1,1,49,0,0
581321,Běleč,160,131,130,13,0,0,25,0,8,14,0,1,0,0,0,11,1,1,30,0,0,14,0,0,0,0,12,0,0
582824,Bílovice nad Svitavou,2676,2018,2004,316,0,2,103,0,257,78,28,6,44,2,0,205,2,147,432,2,6,186,0,16,0,1,170,1,0
582832,Biskoupky,145,86,85,6,0,0,11,0,1,17,1,0,1,0,0,5,0,7,22,0,0,4,0,0,0,2,7,1,0
582841,Blažovice,924,725,724,64,0,0,54,0,49,44,12,2,7,3,1,53,1,34,133,0,1,193,1,2,0,0,70,0,0
582859,Blučina,1749,1099,1091,126,2,0,62,2,42,52,15,11,20,0,1,108,0,23,326,5,1,100,1,8,7,2,174,2,1
595314,Borač,289,219,218,24,0,0,21,0,18,15,6,0,0,0,0,16,0,13,52,0,0,21,0,0,0,0,30,2,0
595331,Borovník,81,61,61,4,0,0,5,0,4,0,1,0,2,0,0,4,0,2,23,0,0,16,0,0,0,0,0,0,0
582875,Braníškov,147,96,96,17,0,0,4,0,11,5,1,0,2,1,0,4,0,2,21,0,0,11,0,0,0,0,17,0,0
593834,Branišovice,482,302,301,23,0,0,15,0,4,18,2,0,5,0,0,19,0,69,104,1,1,19,0,0,1,0,20,0,0
582883,Bratčice,542,367,367,37,0,0,37,0,17,25,2,0,4,1,0,20,0,17,119,0,2,20,0,4,1,2,59,0,0
581402,Brumov,195,135,135,7,0,0,12,0,3,20,1,0,2,0,0,7,0,0,32,0,1,29,0,1,3,0,17,0,0
582891,Březina,272,194,193,26,0,0,9,0,12,16,6,0,2,0,0,18,1,8,69,0,1,6,1,0,1,0,17,0,0
581429,Březina,734,537,537,60,0,0,41,0,118,34,4,0,7,0,0,45,1,31,109,0,0,32,0,4,1,1,49,0,0
581437,Bukovice,57,41,40,2,0,0,8,0,3,5,3,0,1,0,0,7,0,0,8,0,0,3,0,0,0,0,0,0,0
550272,Cvrčovice,514,331,331,14,0,0,15,0,18,36,4,3,6,0,0,28,2,8,131,0,1,19,0,0,1,1,44,0,0
582913,Čebín,1408,907,900,97,1,0,54,0,42,68,15,5,19,2,1,73,1,27,215,1,6,102,0,8,6,3,154,0,0
595446,Černvír,125,93,92,15,0,0,9,0,6,9,0,0,0,0,0,5,0,6,23,0,0,7,0,0,1,0,11,0,0
582921,Česká,790,615,612,138,0,0,18,3,26,24,8,0,12,0,1,54,0,47,169,0,1,64,0,7,4,0,33,3,0
582930,Čučice,350,223,222,16,0,0,5,0,7,41,4,0,5,0,0,12,0,3,86,0,0,14,0,0,2,1,25,0,1
582948,Deblín,841,510,508,39,0,1,46,0,7,74,5,3,11,0,1,39,0,24,130,0,2,68,1,2,2,0,52,0,1
582956,Dolní Kounice,1962,1182,1172,136,3,1,92,0,40,97,16,8,23,0,1,99,1,38,343,2,1,64,1,10,6,1,185,3,1
595527,Dolní Loučky,1042,698,691,74,2,1,71,1,36,66,10,3,13,3,1,36,0,22,207,0,0,75,0,3,0,3,59,4,1
582964,Domašov,499,342,341,41,1,0,22,0,6,18,7,1,3,0,2,37,0,15,100,1,1,41,0,3,3,0,36,2,1
595551,Doubravník,694,470,470,61,0,3,54,1,11,43,6,3,7,0,1,34,1,8,93,0,0,73,0,5,0,1,62,3,0
595560,Drahonín,92,72,72,7,1,0,8,1,5,9,1,0,0,0,0,10,1,0,19,0,0,3,0,0,0,0,7,0,0
582972,Drásov,1327,882,878,140,1,0,64,0,33,52,5,7,17,0,0,82,1,57,241,1,5,54,1,6,1,1,107,2,0
582999,Hajany,365,260,260,27,0,0,37,0,4,17,3,6,7,1,0,9,0,16,84,0,2,10,0,5,1,1,30,0,0
583014,Heroltice,188,121,121,12,0,0,5,1,7,11,2,1,5,0,0,9,0,2,44,2,2,3,0,1,0,0,13,1,0
583022,Hlína,225,153,153,13,0,0,27,0,0,15,3,0,4,0,0,11,0,5,34,0,0,18,0,1,0,0,20,2,0
581577,Hluboké Dvory,70,46,46,3,0,0,0,0,10,6,0,0,0,0,0,5,0,0,16,0,0,1,0,0,0,0,5,0,0
583031,Holasice,859,558,551,56,1,0,46,1,19,31,10,2,13,0,2,57,0,23,151,1,1,28,1,6,3,0,95,3,1
595667,Horní Loučky,258,171,169,10,0,0,10,5,5,17,1,1,2,2,0,19,0,1,42,0,0,35,0,2,0,0,17,0,0
583057,Hostěnice,563,416,413,64,0,0,27,0,28,18,7,2,8,0,0,48,1,32,84,0,1,39,0,0,3,1,50,0,0
583065,Hradčany,518,347,345,49,0,0,23,0,18,25,5,1,5,0,0,30,0,17,99,0,0,13,0,2,1,0,57,0,0
583081,Hrušovany u Brna,2713,1661,1659,142,3,4,123,3,73,122,17,9,32,2,1,162,2,122,483,4,3,121,0,14,18,1,193,4,1
583090,Hvozdec,254,193,191,22,1,1,18,0,8,18,1,0,11,0,0,18,0,19,41,0,1,12,0,2,1,0,16,1,0
583111,Chudčice,724,497,495,58,0,0,28,0,23,38,5,3,7,1,0,52,0,24,144,0,1,55,0,1,2,2,51,0,0
584517,Ivaň,595,370,368,34,0,2,34,0,21,19,5,1,2,0,0,20,7,21,113,0,0,37,0,0,4,0,47,1,0
583120,Ivančice,7833,4673,4649,432,7,5,318,3,106,562,43,29,67,1,7,382,6,334,1425,1,8,272,1,20,10,4,601,5,0
583154,Javůrek,254,176,175,9,0,0,19,0,5,18,4,3,3,1,0,9,0,2,71,0,0,12,0,1,0,0,18,0,0
583171,Jinačovice,543,405,403,69,0,1,21,1,18,21,5,1,14,0,1,32,1,44,101,2,0,26,0,2,1,0,42,0,0
583189,Jiříkovice,753,559,555,45,0,0,26,0,129,21,3,3,9,0,0,34,0,27,105,0,1,102,1,0,2,0,45,2,0
595837,Kaly,228,139,137,10,0,0,12,0,5,13,1,0,1,0,0,9,0,2,54,0,0,10,0,0,0,1,19,0,0
583197,Kanice,679,503,500,76,0,0,20,0,49,12,12,2,5,0,1,61,3,37,104,0,1,54,1,6,0,0,55,1,0
587907,Katov,177,136,132,24,0,0,21,0,8,10,0,3,1,0,0,10,0,1,33,0,0,14,0,0,0,0,6,0,1
583201,Ketkovice,488,319,317,24,0,0,26,1,8,56,2,3,6,0,0,16,1,6,95,0,0,28,0,2,2,0,41,0,0
583219,Kobylnice,831,619,617,92,0,0,23,1,28,36,5,7,16,1,1,53,0,68,150,0,2,59,0,4,0,0,69,2,0
583227,Kovalovice,503,350,347,42,0,0,26,0,33,18,0,3,8,0,0,22,0,11,73,0,1,80,0,0,0,0,30,0,0
583235,Kratochvilka,381,232,228,11,0,0,27,0,1,29,0,4,6,0,1,23,0,14,58,0,0,4,0,7,3,2,37,1,0
595934,Křižínkov,167,113,113,16,0,0,11,0,0,14,4,0,1,0,0,12,0,1,25,0,1,14,0,2,1,0,10,1,0
583243,Kupařovice,227,131,130,15,0,0,14,0,10,22,1,0,1,0,0,12,0,2,36,0,0,3,0,1,0,1,12,0,0
583251,Kuřim,8512,5662,5627,801,7,8,403,8,447,397,92,30,160,2,8,573,1,299,1443,2,10,284,1,46,17,12,562,12,2
595985,Kuřimská Nová Ves,104,84,84,3,0,0,7,0,5,11,1,1,2,1,0,2,0,0,23,0,0,23,0,1,0,0,4,0,0
595993,Kuřimské Jestřabí,122,94,94,5,0,0,9,1,6,8,0,1,1,0,0,6,1,4,21,0,0,22,0,0,2,0,7,0,0
583260,Lažánky,590,415,410,50,0,1,19,0,21,29,8,1,9,0,0,35,0,17,123,0,0,54,0,4,1,0,33,5,0
583278,Ledce,178,110,107,12,0,0,7,1,5,13,0,1,2,0,0,10,0,6,32,0,0,6,0,0,0,1,11,0,0
583286,Lelekovice,1447,1056,1056,197,0,2,69,0,47,54,19,2,26,1,16,87,2,76,248,1,2,102,0,8,4,2,87,2,2
583294,Lesní Hluboké,199,156,156,15,0,0,7,1,11,7,5,2,6,0,0,19,0,4,62,1,0,7,0,1,0,0,8,0,0
583308,Litostrov,103,50,50,5,0,0,2,0,0,4,0,0,1,0,0,0,0,4,18,0,0,6,0,0,0,0,10,0,0
594377,Loděnice,418,248,248,12,0,0,14,1,6,30,2,1,1,0,0,21,2,5,81,1,0,15,0,1,1,0,52,2,0
581976,Lomnice,1135,691,687,73,0,0,62,1,36,58,12,7,5,1,1,42,1,18,190,1,2,75,0,0,1,3,95,3,0
583316,Lomnička,406,267,266,27,0,0,18,0,34,13,3,2,13,1,2,23,0,11,64,0,0,13,0,1,2,0,36,3,0
596078,Lubné,45,37,36,4,0,0,5,0,0,2,0,0,0,0,0,1,0,4,7,0,1,10,0,0,0,0,1,1,0
583324,Lukovany,496,323,322,19,0,0,13,0,8,37,2,3,5,0,2,42,2,5,77,0,0,55,0,0,3,0,48,0,1
583332,Malešovice,470,280,280,24,0,0,20,0,9,27,1,2,2,0,1,13,0,8,110,0,0,13,0,0,1,1,44,4,0
583341,Malhostovice,777,509,508,54,1,1,34,0,20,43,11,7,6,0,0,38,1,17,162,1,0,61,0,1,3,0,45,1,1
583359,Maršov,396,258,255,16,0,0,22,0,3,31,3,3,4,0,0,29,0,4,88,0,0,12,0,1,0,0,39,0,0
583367,Medlov,627,413,411,34,1,0,22,0,21,41,7,5,5,2,3,26,1,10,160,1,1,13,0,3,1,1,51,2,0
583375,Mělčany,393,266,263,12,0,0,6,0,12,32,2,6,5,1,0,14,0,15,92,0,0,30,0,4,0,1,30,1,0
583383,Měnín,1485,884,875,105,3,0,55,1,26,68,8,4,16,1,0,70,0,34,281,0,1,75,0,3,3,0,118,2,1
583391,Modřice,3660,2480,2462,481,4,2,141,3,109,150,41,12,46,2,3,205,2,112,670,6,5,159,0,15,6,3,272,8,5
583405,Mokrá-Horákov,2210,1499,1487,165,1,1,162,1,73,100,17,5,37,0,5,121,1,48,434,1,2,129,0,15,3,4,158,1,3
583413,Moravany,1993,1448,1443,271,0,2,75,0,56,57,19,8,39,2,1,133,2,95,394,0,2,114,1,16,2,0,152,2,0
583421,Moravské Bránice,792,521,520,50,0,0,54,0,23,23,3,7,6,0,0,40,0,17,195,2,0,35,0,1,1,3,59,1,0
583430,Moravské Knínice,736,533,532,80,0,0,30,2,24,25,9,1,46,0,1,48,0,34,123,0,1,59,0,3,0,0,43,2,1
583448,Moutnice,932,614,608,77,1,0,37,0,9,26,4,0,11,0,1,72,0,27,123,0,0,152,0,3,3,1,59,2,0
583456,Nebovidy,566,436,432,64,0,0,23,1,19,16,5,1,7,1,0,38,1,28,146,0,0,34,0,1,2,0,45,0,0
596175,Nedvědice,1114,747,740,92,2,0,81,0,33,81,8,9,15,0,0,59,0,19,223,1,1,53,0,0,0,3,56,4,0
583464,Nelepeč-Žernůvka,79,63,61,5,0,0,1,0,2,5,1,0,0,0,0,9,0,4,7,0,0,25,0,1,0,0,1,0,0
583472,Němčičky,244,142,142,14,1,0,15,0,4,18,1,1,2,0,0,15,0,3,45,0,0,5,0,1,0,0,17,0,0
583481,Neslovice,699,417,416,34,0,0,47,1,14,38,3,4,12,0,1,31,0,24,135,0,0,23,0,5,0,0,42,0,2
583499,Nesvačilka,269,174,174,14,0,1,13,0,4,7,1,3,1,0,0,13,0,7,64,0,0,23,0,3,2,0,18,0,0
596191,Níhov,172,136,136,12,0,0,14,0,14,10,2,3,0,0,0,13,0,9,25,0,0,32,0,0,0,0,2,0,0
584720,Nosislav,1088,728,724,63,1,1,42,0,39,28,8,4,25,0,1,68,1,47,236,0,1,67,0,5,2,2,82,1,0
583502,Nová Ves,628,353,351,20,0,0,37,0,11,70,2,8,5,0,0,19,0,9,103,0,1,24,0,0,2,1,38,1,0
583511,Nové Bránice,561,378,377,69,0,0,35,0,22,30,7,4,7,0,1,22,0,13,110,0,0,27,0,1,3,0,25,1,0
583529,Odrovice,169,86,86,6,0,0,1,0,1,15,0,3,0,0,0,4,0,3,41,0,0,1,0,2,0,0,9,0,0
583537,Ochoz u Brna,1083,747,742,96,0,0,52,0,42,45,15,2,5,0,5,83,0,50,162,0,1,81,0,3,3,0,94,3,0
582123,Ochoz u Tišnova,95,81,81,13,0,0,6,0,3,10,1,0,1,0,0,8,0,2,15,0,0,8,0,0,0,0,13,1,0
596302,Olší,248,177,177,17,0,0,15,0,12,10,0,2,0,0,0,12,0,3,46,0,0,25,0,0,1,0,32,2,0
583545,Omice,639,465,463,70,0,0,30,1,12,39,8,1,3,0,0,37,0,19,112,1,6,29,0,12,1,6,74,1,1
583553,Opatovice,890,532,526,68,0,1,54,0,14,42,6,6,3,0,0,44,0,17,145,0,2,24,0,0,1,0,97,2,0
583561,Ořechov,2072,1391,1386,165,0,0,99,2,56,72,15,16,12,2,1,129,1,34,414,0,1,151,0,4,8,2,193,8,1
582174,Osiky,110,72,72,1,0,0,12,0,4,2,1,0,2,0,0,7,1,1,25,0,0,10,0,1,0,0,5,0,0
583588,Oslavany,3843,2107,2092,122,6,0,158,1,35,386,19,17,42,0,3,134,4,57,604,1,5,104,1,7,6,4,366,8,2
583596,Ostopovice,1318,920,914,170,1,0,38,1,35,28,10,2,11,0,2,88,0,46,266,2,1,100,1,11,3,1,95,1,1
